k,silhouette_score
2,0.10161702519118619
3,0.07769936514644603
4,0.07695021507990572
5,-0.046437612516534416
6,-0.051325691430273636
7,-0.0369735387089766
8,0.04755669607874536
9,0.05840302328144172
10,-0.03670913415701315
